texte,poids,position
distinguer,2.0,"[14630, 15073]"
doute,2.0,"[16011, 21748]"
dresser,2.0,"[1195, 1332]"
décisif,2.0,"[11974, 20852]"
démocratique,2.0,"[199, 6501, 24189]"
désaccord,2.0,"[9335, 9343]"
déterminer,2.0,"[3121, 20738]"
eltsine,2.0,"[23783, 23832]"
entourer,2.0,"[5388, 20826]"
entrer,2.0,"[16423, 22302]"
erreur,2.0,"[8826, 18730]"
etats,2.0,"[19452, 21506]"
exercer,2.0,"[3092, 3143]"
extrêmement,2.0,"[34, 72, 3318, 11200, 15876]"
face,2.0,"[21504, 24048]"
favoriser,2.0,"[21310, 21449]"
fin,2.0,"[140, 21800, 24274]"
formule,2.0,"[15058, 17061]"
fort,2.0,"[12220, 15659]"
françois,2.0,"[2797, 25540]"
fruit,2.0,"[11732, 15288]"
garde,2.0,[3309]
garer,2.0,"[15249, 16704]"
généralité,2.0,"[9252, 9272]"
haberer,2.0,"[18734, 18772]"
hériter,2.0,"[5320, 14191]"
importance,2.0,"[514, 18275, 25485]"
impression,2.0,"[24008, 24101]"
inconvénient,2.0,"[2440, 6942]"
individu,2.0,"[1345, 2248]"
inter,2.0,"[14536, 14563]"
intergouvernemental,2.0,"[21760, 22242]"
irrégulier,2.0,"[19501, 19814]"
jean,2.0,"[18720, 18768]"
justement,2.0,"[4590, 8640, 11620, 24451]"
libre,2.0,"[8976, 13156]"
librement,2.0,"[7015, 12074, 25733]"
licenciement,2.0,"[11813, 11834]"
lier,2.0,"[15877, 15897, 17095, 22164]"
lieutenant,2.0,"[6875, 13407]"
limitation,2.0,"[3044, 20716]"
lourd,2.0,"[11784, 12307]"
lévêque,2.0,"[18722, 18770]"
malade,2.0,"[20732, 20815]"
marchand,2.0,"[18661, 18686]"
marché,2.0,"[6991, 9157]"
maxime,2.0,"[18721, 18769]"
moderne,2.0,"[745, 25668]"
monarchiste,2.0,"[2244, 2388]"
moscou,2.0,"[2900, 23881]"
motif,2.0,"[19926, 21925]"
métier,2.0,"[22094, 22102, 22440]"
nullement,2.0,"[7175, 19851]"
offrir,2.0,"[728, 901, 2369, 2421, 6766, 8842]"
opposition,2.0,"[2839, 4980]"
originel,2.0,"[2665, 2696]"
paix,2.0,"[24345, 24355]"
parmi,2.0,"[9056, 16443, 21612]"
parquet,2.0,"[3301, 3325]"
passage,2.0,"[3039, 21785]"
patronat,2.0,"[8940, 15131]"
personnage,2.0,"[2538, 2869]"
perspective,2.0,"[25455, 25647]"
plaider,2.0,"[18267, 18290]"
population,2.0,"[16473, 20779]"
pourtant,2.0,"[764, 10704]"
privé,2.0,"[16315, 16668]"
processus,2.0,"[6500, 12103]"
proche,2.0,"[12199, 13131]"
procéder,2.0,"[4684, 5362]"
prolifération,2.0,"[21976, 23496]"
propos,2.0,"[9394, 12489, 16023, 19184, 20620, 20656]"
propriétaire,2.0,"[16667, 16731]"
protester,2.0,"[718, 1197]"
présenter,2.0,"[6945, 9403]"
présidence,2.0,"[264, 369, 1410, 4811, 21669, 25371]"
puisqu,2.0,"[16932, 18270, 21859, 23739]"
qualification,2.0,"[12229, 12247]"
qualifier,2.0,"[9022, 12369]"
raciste,2.0,"[1311, 1314]"
rejoindre,2.0,"[2143, 8872]"
