558,mon
559,point
560,de
561,vue
562,.
563,Elles
564,nous
565,ont
566,été
567,données
568,par
569,le
570,Général
571,de
572,Gaulle
573,elles
574,ont
575,de
576,la
577,souplesse
578,et
579,de
580,l
581,efficacité
582,.
583,Mais
584,naturellement
585,les
586,textes
587,sont
588,les
589,textes
590,et
591,la
592,manière
593,de
594,les
595,interpréter
596,peut
597,varier
598,.
599,Et
600,nous
601,avons
602,assisté
603,au
604,fil
605,des
606,temps
607,à
608,une
609,dérive
610,monarchique
611,des
612,institutions
613,c
614,est-à-dire
615,que
616,de
617,plus
618,en
619,plus
620,le
621,Président
622,de
623,la
624,République
625,au
626,lieu
627,d
628,être
629,ce
630,qu
631,il
632,doit
633,être
634,c
635,est-à-dire
636,un
637,arbitre
638,l
639,homme
640,qui
641,est
642,le
643,porteur
644,d
645,une
646,vision
647,de
648,l
649,avenir
650,l
651,homme
652,qui
653,donne
654,l
655,impulsion
656,aux
657,choses
658,est
659,devenu
660,une
661,sorte
662,de
663,super
664,Premier
665,Ministre
666,assumant
667,l
668,ensemble
669,des
670,responsabilités
671,.
672,Jospin
673,à
674,la
675,fois
676,votre
677,réponse
678,à
679,Chirac
680,et
681,puis
682,vos
683,propres
684,thèses
685,.
686,Sur
687,quelques
688,points
689,à
690,condition
691,qu
692,on
693,voit
694,si
695,les
696,contenus
697,concrets
698,sont
699,les
700,mêmes
701,ce
702,qui
703,n
704,est
705,pas
706,tout
707,à
708,fait
709,sûr
710,je
711,peux
712,rejoindre
713,des
714,préoccupations
715,exprimées
716,par
717,Jacques
718,Chirac
719,ce
720,qui
721,n
722,est
723,pas
724,anormal
725,compte-tenu
726,d
727,un
728,certain
729,nombre
730,de
731,problèmes
732,qui
733,peuvent
734,se
735,poser
736,traditionnellement
737,à
738,un
739,Etat
740,.
741,Réponse
742,de
743,Jacques
744,Chirac
745,à
746,Lionel
747,Jospin
748,directement
749,.
750,Pour
751,le
752,train
753,de
754,vie
755,de
756,ma
757,campagne
758,Jospin
759,je
760,puis
761,vous
762,dire
763,que
764,conformément
765,à
766,la
767,loi
768,mes
769,comptes
770,sont
771,et
772,seront
773,publics
774,et
775,que
776,par
777,conséquent
778,le
779,Conseil
780,Constitutionnel
781,pourra
782,juger
783,de
784,même
785,qu
786,il
787,jugera
788,les
789,vôtres
790,.
791,Alors
792,n
793,accusez
794,pas
795,sans
796,savoir
797,ou
798,à
799,partir
800,de
801,on-dit
802,.
803,Me
804,semblait-t-il
805,et
806,même
807,plus
808,récemment
809,je
810,crois
811,.
812,Non
813,j
814,ai
815,toujours
816,dit
817,que
818,je
819,n
820,étais
821,pas
822,contre
823,le
824,fait
825,que
826,le
827,mandat
828,dure
829,ans
830,.
831,En
832,revanche
833,je
834,suis
835,contre
836,l
837,ouverture
838,de
839,ce
840,débat
841,aujourd
842,hui
843,pour
844,une
845,raison
846,simple
847,c
848,est
849,que
850,dans
851,tous
852,les
853,partis
854,politiques
855,il
856,y
857,a
858,d
859,éminents
860,juristes
861,qui
862,défendent
863,la
864,thèse
865,selon
866,laquelle
867,le
868,quinquennat
869,conduit
870,au
871,régime
872,présidentiel
873,et
874,d
875,autres
876,qui
877,prétendent
878,le
879,contraire
880,.
881,Nous
882,avons
883,en
884,France
885,une
886,espèce
887,de
888,génie
889,pour
890,nous
891,étriper
892,sur
893,les
894,questions
895,juridiques
896,.
897,Je
898,trouve
899,qu
900,il
901,y
902,a
903,aujourd
904,hui
905,suffisamment
906,de
907,problèmes
908,à
909,régler
910,un
911,nécessaire
912,effort
913,pour
914,tous
915,ensemble
916,régler
917,les
918,problèmes
919,qui
920,se
921,posent
922,sans
923,créer
924,des
925,débats
926,douteux
927,inutiles
928,et
929,sur
930,lesquels
931,nous
932,allons
933,nous
934,affronter
935,.
936,Proposée
937,par
938,nous
939,d
940,ailleurs
941,.
942,Oui
943,oui
944,.
945,On
946,ne
947,peut
948,plus
949,avoir
950,que
951,deux
952,mandats
953,.
954,Je
955,crois
956,que
957,c
958,est
959,une
960,solution
961,sage
962,.
963,J
964,ai
965,beaucoup
966,été
967,sur
968,le
969,terrain
970,vous
971,le
972,savez
973,depuis
974,des
975,années
976,et
977,des
978,années
979,notamment
980,depuis
981,deux
982,ans
983,où
984,je
985,me
986,suis
987,consacré
988,exclusivement
989,à
990,parcourir
991,nos
992,villes
993,nos
994,villages
995,nos
996,campagnes
997,etc
998,.
999,.
1000,.
1001,Et
1002,je
1003,m
1004,aperçois
1005,de
1006,la
1007,difficulté
1008,qu
1009,ont
1010,les
1011,hommes
1012,politiques
1013,à
1014,savoir
1015,ce
1016,qui
1017,se
1018,passe
1019,en
1020,réalité
1021,.
1022,Ils
1023,jugent
1024,au
1025,travers
1026,de
1027,rapports
1028,ils
1029,écoutent
1030,leurs
1031,experts
1032,et
1033,finalement
1034,ils
1035,sont
1036,complètement
1037,détachés
1038,de
1039,la
1040,réalité
1041,des
1042,choses
1043,.
1044,Et
1045,si
1046,on
1047,a
1048,fait
1049,tant
1050,de
1051,bêtises
1052,depuis
1053,un
1054,certain
1055,temps
1056,si
1057,l
1058,administration
1059,a
1060,pris
1061,un
1062,tel
1063,poids
1064,dans
1065,nos
1066,affaires
1067,c
1068,est
1069,précisément
1070,parce
1071,que
1072,les
1073,hommes
1074,politiques
1075,ont
1076,été
1077,trop
1078,coupés
1079,de
1080,leurs
1081,racines
1082,de
1083,la
1084,réalité
1085,quotidienne
1086,des
1087,choses
1088,.
1089,Vous
1090,faites
1091,ça
1092,Oui
1093,je
1094,fais
1095,ça
1096,j
1097,ai
1098,apporté
1099,une
1100,petite
1101,fiche
1102,parce
1103,que
1104,quand
1105,il
1106,y
1107,a
1108,des
1109,chiffres
1110,il
1111,faut
1112,essayer
1113,de
1114,s
1115,en
1116,souvenir
1117,.
1118,.
1119,.
1120,Mais
1121,il
1122,ressort
1123,des
1124,chiffres
1125,que
1126,j
1127,ai
1128,pris
1129,dans
1130,le
1131,Journal
1132,Officiel
1133,tout
1134,bêtement
1135,qu
1136,aussi
1137,bien
1138,en
