position,texte,rien
398,de,de
399,cette,ce
400,émission,émission
401,.,.
402,Monsieur,monsieur
403,mitterrand,mitterrand
404,vous,vous
405,commencez,commencer
406,;,;
407,monsieur,monsieur
408,chirac,chirac
409,vous,vous
410,ferez,faire
411,la,le
412,dernière,dernier
413,conclusion,conclusion
414,.,.
415,La,le
416,première,premier
417,question,question
418,est,être
419,une,un
420,question,question
421,assez,assez
422,simple,simple
423,que,que
424,je,je
425,crois,croire
426,tous,tout
427,les,le
428,français,français
429,se,se
430,posent,poser
431,aujourd,aujourd
432,hui,hui
433,voici,voici
434,plus,plus
435,de,de
436,deux,deux
437,ans,an
438,que,que
439,vous,vous
440,êtes,être
441,l,l
442,un,un
443,et,et
444,l,l
445,autre,autre
446,à,à
447,la,le
448,tête,tête
449,de,de
450,ce,ce
451,pays,pays
452,.,.
453,A,avoir
454,de,de
455,nombreuses,nombreux
456,reprises,reprise
457,sur,sur
458,toute,tout
459,la,le
460,scène,scène
461,internationale,international
462,on,on
463,vous,vous
464,a,avoir
465,vus,voir
466,l,l
467,un,un
468,et,et
469,l,l
470,autre,autre
471,assez,assez
472,proches,proche
473,.,.
474,.,.
475,.,.
476,D,d
477,ailleurs,ailleurs
478,vous,vous
479,mêmes,même
480,dans,dans
481,des,du
482,interviews,interview
483,vous,vous
484,avez,avoir
485,dit,dire
486,que,que
487,vous,vous
488,l,l
489,étiez,être
490,et,et
491,après,après
492,tout,tout
493,les,le
494,français,français
495,s,s
496,en,en
497,satisfaisaient,satisfaire
498,assez,assez
499,bien,bien
500,.,.
501,Que,que
502,se,se
503,passe,passer
504,t,t
505,il,il
506,.,.
507,.,.
508,.,.
509,D,d
510,un,un
511,seul,seul
512,coup,coup
513,vous,vous
514,n,n
515,avez,avoir
516,pas,pas
517,de,de
518,mots,mot
519,assez,assez
520,durs,dur
521,pour,pour
522,l,l
523,un,un
524,pour,pour
525,l,l
526,autre,autre
527,.,.
528,Les,le
529,uns,un
530,parlent,parler
531,de,de
532,l,l
533,âge,âge
534,d,d
535,un,un
536,candidat,candidat
537,les,le
538,autres,autre
539,de,de
540,la,le
541,vulgarité,vulgarité
542,.,.
543,Est,être
544,ce,ce
545,que,que
546,vraiment,vraiment
547,la,le
548,campagne,campagne
549,électorale,électoral
550,permet,permettre
551,tout,tout
552,.,.
553,.,.
554,.,.
555,Est,être
556,ce,ce
557,que,que
558,vraiment,vraiment
559,nous,nous
560,ne,ne
561,sommes,sommer|être
562,plus,plus
563,au,au
564,temps,temps
565,de,de
566,la,le
567,cohabitation,cohabitation
568,.,.
569,.,.
570,.,.
571,Une,un
572,campagne,campagne
573,électorale,électoral
574,ne,ne
575,permet,permettre
576,pas,pas
577,tout,tout
578,.,.
579,De,de
580,notre,notre
581,côté,côté
582,la,le
583,cohabitation,cohabitation
584,a,avoir
585,été,être
586,voulue,vouloir
587,par,par
588,le,le
589,peuple,peuple
590,et,et
591,nous,nous
592,avons,avoir
593,respecté,respecter
594,sa,son
595,volonté,volonté
596,.,.
597,Pendant,pendant
598,le,le
599,temps,temps
600,qui,qui
601,nous,nous
602,a,avoir
603,été,être
604,donné,donner
605,nous,nous
606,avons,avoir
607,veillé,veiller
608,aux,au
609,intérêts,intérêt
610,de,de
611,la,le
612,france,france
613,.,.
614,Bien,bien
615,entendu,entendre
616,cohabiter,cohabiter
617,lorsqu,lorsqu
618,on,on
619,vient,venir
620,de,de
621,deux,deux
622,majorités,majorité
623,différentes,différent
624,élues,élire
625,à,à
626,des,du
627,moments,moment
628,différents,différent
629,cela,cela
630,suppose,supposer
631,comme,comme
632,on,on
633,dit,dire
634,une,un
635,dialectique,dialectique
636,une,un
637,discussion,discussion
638,.,.
639,Les,le
640,points,point
641,de,de
642,vue,vue
643,ne,ne
644,sont,être
645,forcément,forcément
646,pas,pas
647,les,le
648,mêmes,même
649,.,.
650,Si,si
651,l,l
652,on,on
653,veut,vouloir
654,défendre,défendre
655,les,le
656,intérêts,intérêt
657,de,de
658,la,le
659,france,france
660,surtout,surtout
661,sur,sur
662,le,le
663,plan,plan
664,extérieur,extérieur
665,et,et
666,s,s
667,exprimer,exprimer
668,d,d
669,une,un
670,même,même
671,voix,voix
672,il,il
673,faut,falloir
674,se,se
675,mettre,mettre
676,d,d
677,accord,accord
678,.,.
679,Bien,bien
680,entendu,entendre
