position,texte
629,ils
630,rendront
631,compte
632,de
633,ce
634,qu
635,ils
636,ont
637,faits
638,ou
639,pas
640,pu
641,faire
642,et
643,pourquoi
644,.
645,Ségolène
646,Royal
647,quelle
648,est
649,votre
650,conception
651,du
652,pouvoir
653,et
654,de
655,la
656,présidence
657,de
658,la
659,République
660,si
661,vous
662,êtes
663,élue
664,Je
665,souhaite
666,sortir
667,la
668,France
669,de
670,la
671,situation
672,dans
673,laquelle
674,elle
675,se
676,trouve
677,aujourd
678,hui
679,.
680,D
681,abord
682,la
683,dette
684,aujourd
685,hui
686,la
687,France
688,est
689,endettée
690,plus
691,de
692,euros
693,par
694,Français
695,le
696,nombre
697,de
698,travailleurs
699,pauvres
700,est
701,de
702,millions
703,et
704,demi
705,la
706,précarité
707,s
708,est
709,accrue
710,le
711,pouvoir
712,d
713,achat
714,s
715,est
716,abaissé
717,la
718,pauvreté
719,","
720,millions
721,de
722,Français
723,vivent
724,en-dessous
725,du
726,seuil
727,de
728,pauvreté
729,parmi
730,eux
731,millions
732,d
733,enfants
734,comme
735,le
736,dit
737,l
738,association
739,Emmaüs
740,.
741,Des
742,retraites
743,qui
744,ont
745,perdu
746,du
747,pouvoir
748,d
749,achat
750,.
751,Le
752,niveau
753,moyen
754,des
755,retraites
756,des
757,femmes
758,est
759,de
760,euros
761,pour
762,une
763,carrière
764,complète
765,et
766,de
767,euros
768,pour
769,une
770,carrière
771,incomplète
772,parce
773,que
774,les
775,femmes
776,subissent
777,très
778,durement
779,le
780,chômage
781,partiel
782,.
783,Un
784,déficit
785,de
786,la
787,sécurité
788,sociale
789,qui
790,s
791,élève
792,à
793,milliards
794,d
795,euros
796,un
797,chômage
798,qui
799,touche
800,près
801,de
802,millions
803,de
804,personnes
805,des
806,agressions
807,qui
808,ont
809,augmenté
810,depuis
811,de
812,plus
813,de
814,violence
815,physique
816,gratuite
817,contre
818,les
819,personnes
820,.
821,En
822,Monsieur
823,Sarkozy
824,vous
825,aviez
826,parlé
827,de
828,la
829,tolérance
830,zéro
831,les
832,Français
833,s
834,inquiètent
835,beaucoup
836,de
837,la
838,montée
839,des
840,violences
841,et
842,des
843,agressivités
844,dans
845,la
846,société
847,française
848,.
849,Le
