absurde,1.0,[7793]
accords,1.0,[7546]
action,1.0,[2906]
activité,1.0,[9317]
actuelle,1.0,"[7696, 9111]"
actuellement,1.0,[7684]
affirmations,1.0,[1630]
agréables,1.0,[2353]
ai-je,1.0,[5970]
ainsi,1.0,[3274]
allègement,1.0,[3496]
alternative,1.0,[9417]
amis,1.0,[3105]
ampleur,1.0,[4530]
américains,1.0,[9195]
ancien,1.0,[6896]
annoncé,1.0,[4111]
anormal,1.0,[724]
antagonisme,1.0,[143]
apparaît,1.0,[1908]
apparemment,1.0,[5293]
appelé,1.0,[3279]
approche,1.0,[8685]
appui,1.0,[8260]
après,1.0,"[56, 9030, 9565]"
arrive,1.0,"[531, 1351, 8397]"
arrêtez-vous,1.0,[4352]
article,1.0,[5277]
assemblées,1.0,[1377]
assumer,1.0,[5103]
assurances,1.0,[5604]
assurant,1.0,[7527]
atouts,1.0,[9395]
aucune,1.0,[3385]
augmentez-vous,1.0,[4238]
autant,1.0,[5219]
autorise,1.0,[6667]
autorisez,1.0,[2010]
auxquels,1.0,[8238]
avance,1.0,"[4765, 5991]"
avançait,1.0,[5270]
aérospatiale,1.0,[4971]
barque,1.0,[3044]
blesse,1.0,[423]
bonne,1.0,[8490]
boris,1.0,[9183]
bouge,1.0,[5852]
bougé,1.0,[4316]
britanniques,1.0,[5083]
brièvement,1.0,[8646]
brutalité,1.0,[450]
budget,1.0,[4635]
bureau,1.0,[6743]
bérégovoy,1.0,[5432]
bête,1.0,[451]
celles-ci,1.0,[4261]
celles-là,1.0,[7460]
centrale,1.0,[1458]
certaines,1.0,"[4891, 5942]"
cessez-le-feu,1.0,[9306]
ceux-là,1.0,[1780]
charges,1.0,"[4259, 8341]"
chefs,1.0,[8591]
chers,1.0,[3711]
choisiront,1.0,[2064]
choisissent,1.0,[2053]
choisit,1.0,[8064]
chômeurs,1.0,"[2610, 6128]"
ciblant,1.0,[3547]
circonscription,1.0,[8478]
citoyen,1.0,[4122]
clair,1.0,[6283]
claire,1.0,[7759]
cohérence,1.0,[5303]
commencé,1.0,[6930]
commerçants,1.0,[1750]
communistes,1.0,[7078]
complaisance,1.0,[9174]
comporte,1.0,[4257]
comprends,1.0,[7293]
comptabiliser,1.0,[7395]
compétition,1.0,[5239]
concerné,1.0,[7447]
conclu,1.0,[2810]
concrets,1.0,"[697, 7356]"
concurrence,1.0,[5076]
concurrentiel,1.0,[5136]
concurrentielle,1.0,[5142]
condition,1.0,[690]
conduisait,1.0,[2827]
confiance,1.0,[1289]
confondons,1.0,[7096]
conférence,1.0,[8612]
connaître,1.0,[5116]
connus,1.0,[2347]
consciences,1.0,[425]
consolider,1.0,[9225]
contact,1.0,[9386]
contenus,1.0,[696]
contexte,1.0,"[472, 8363]"
contingent,1.0,[9442]
continue,1.0,[3783]
continué,1.0,[1470]
contribuer,1.0,[128]
convaincant,1.0,[1667]
convictions,1.0,[157]
conviens,1.0,[7754]
convient,1.0,[3776]
correction,1.0,[5978]
coup,1.0,"[4757, 8547]"
coupé,1.0,[8977]
cours,1.0,[4320]
croates,1.0,[9323]
croit,1.0,[9376]
créations,1.0,[6613]
crédits,1.0,[3709]
crée,1.0,[491]
créent,1.0,[3440]
créé,1.0,[2380]
daniel,1.0,[6814]
davantage,1.0,[5805]
demandé,1.0,[6766]
derrière,1.0,[2080]
desserte,1.0,[5105]
dette,1.0,[4695]
difficile,1.0,[7392]
différences,1.0,[8682]
dimanche,1.0,[2068]
diminuer,1.0,[4251]
dirais,1.0,[4875]
discussion,1.0,[1733]
donneront,1.0,[2083]
doublement,1.0,[5486]
dresser,1.0,[437]
dynamiques,1.0,[3468]
débattu,1.0,[2846]
déboucher,1.0,[9388]
débouchera,1.0,[9408]
débouché,1.0,[6808]
décades,1.0,[1392]
décennies,1.0,[1387]
définitive,1.0,[4237]
déjà,1.0,[2379]
démagogie,1.0,[1700]
démocratiques,1.0,[2118]
démunis,1.0,[6366]
départ,1.0,[5524]
dépenses,1.0,[4298]
dépit,1.0,[2405]
député,1.0,[6821]
déterminée,1.0,[8251]
développer,1.0,[8665]
développé,1.0,[9192]
dîner,1.0,[8604]
efforcé,1.0,[9599]
embargo,1.0,[9454]
en-dessous,1.0,[6143]
enfants,1.0,[7713]
ensuite,1.0,"[2421, 5204, 6995, 7462, 8202]"
entend,1.0,[476]
entendions,1.0,[4390]
entretien,1.0,[6768]
erreurs,1.0,[6932]
espère,1.0,[124]
essaie,1.0,[3767]
essayons,1.0,[5731]
essayé,1.0,[6176]
etats,1.0,[7522]
européen,1.0,"[6153, 8364, 8566]"
exclure,1.0,[2292]
existe,1.0,[1364]
exprimées,1.0,[715]
expulsés,1.0,[7719]
extrêmement,1.0,"[39, 3452, 5669]"
faim,1.0,[7682]
faisant,1.0,[9243]
fallait,1.0,[1800]
fantaisistes,1.0,[1633]
fasse,1.0,[3511]
faudra,1.0,[8584]
faveur,1.0,[8967]
favoriser,1.0,[8500]
feriez-vous,1.0,[8552]
feront,1.0,[2403]
fils,1.0,[8877]
fin,1.0,[9304]
fiscales,1.0,[6620]
fonds,1.0,[5579]
formule,1.0,[6121]
fort,1.0,[5453]
fragilisons,1.0,[9246]
française,1.0,"[401, 420, 7341, 8337]"
fur,1.0,[5263]
garantir,1.0,[2100]
georges,1.0,[1412]
globales,1.0,[6158]
grands,1.0,"[5648, 9446]"
groupe,1.0,[9384]
grâce,1.0,[6809]
grève,1.0,[7679]
guerre,1.0,[8215]
généralement,1.0,[1509]
habile,1.0,[1664]
habileté,1.0,[1317]
habitat,1.0,[6895]
heureux,1.0,[100]
honnêtement,1.0,[1697]
hostilité,1.0,[485]
hypothèses,1.0,[4330]
hérités,1.0,[1484]
identique,1.0,[2876]
idéologie,1.0,[6945]
ignorer,1.0,[2323]
illégitime,1.0,[2286]
image,1.0,[5821]
immergée,1.0,[5138]
importance,1.0,[6608]
inconvénients,1.0,[2407]
indirect,1.0,[4254]
inexpulsables,1.0,[7772]
inquiet,1.0,[9298]
insistant,1.0,[6605]
inspirés,1.0,[2350]
installation,1.0,[8502]
intergouvernementale,1.0,[8613]
internationale,1.0,"[9110, 9358]"
interpellations,1.0,[3402]
interrogé,1.0,[1753]
introduction,1.0,[5594]
inégalités,1.0,[1726]
irrégulière,1.0,[7786]
justifie,1.0,[3030]
justifié,1.0,[7914]
juteuses,1.0,[5093]
krajina,1.0,[9325]
lapidaire,1.0,[6122]
largement,1.0,[5739]
lesquelles,1.0,[5121]
levée,1.0,[9451]
libre,1.0,[4120]
lignes,1.0,[5090]
limitation,1.0,[8229]
lié,1.0,"[5690, 6154]"
lorsqu,1.0,[1497]
léotard,1.0,[9433]
malades,1.0,[8245]
malgré,1.0,[5595]
marque,1.0,[5621]
maîtres,1.0,[2109]
maîtriser,1.0,[4296]
membres,1.0,[9354]
mentor,1.0,[1399]
menée,1.0,[2910]
merci,1.0,[6594]
meurtre,1.0,[462]
mienne,1.0,[8691]
mieux,1.0,[2349]
militaire,1.0,[9318]
ministres,1.0,[1765]
mis,1.0,"[270, 7360]"
moderne,1.0,[219]
modernité,1.0,[9662]
modifiant,1.0,[5824]
moment-là,1.0,[2076]
monory,1.0,[1495]
mortalité,1.0,[3535]
motif,1.0,[8713]
mrp,1.0,[7081]
municipalités,1.0,[7215]
mutualiste,1.0,[5589]
national,1.0,[7458]
nationales,1.0,[5055]
nationalisé,1.0,[7138]
