texte,poids,position
invraisemblable,2.0,"[7228, 10817]"
irréprochable,2.0,"[658, 13939]"
juger,2.0,"[600, 24940]"
kyoto,2.0,"[15170, 15209]"
libéralisme,2.0,"[13529, 13743]"
malade,2.0,"[10834, 10857]"
malaise,2.0,"[3396, 17348]"
maître,2.0,"[17297, 17303]"
maîtriser,2.0,"[21546, 25516]"
montant,2.0,"[11343, 12984]"
multiplier,2.0,"[3286, 13795]"
méditerranée,2.0,"[20682, 21695]"
nation,2.0,"[24311, 24320]"
obtention,2.0,"[5147, 21364]"
offrir,2.0,"[7266, 7325]"
outre,2.0,"[17046, 17072]"
parcours,2.0,"[17328, 25134]"
pardon,2.0,"[12547, 24278]"
pareil,2.0,"[15125, 15258]"
participation,2.0,"[23966, 25180]"
peser,2.0,"[6775, 13692]"
pire,2.0,"[14871, 24219]"
pointer,2.0,"[2953, 18629]"
poivre,2.0,"[96, 3244, 23351]"
polluer,2.0,"[15087, 15097]"
privé,2.0,"[8915, 10472]"
préférence,2.0,"[15422, 20107]"
préretraite,2.0,"[5511, 9274]"
préserver,2.0,"[19092, 22816]"
punir,2.0,"[3025, 3104]"
pénal,2.0,"[3083, 21648]"
remarque,2.0,"[5264, 14835]"
rembourser,2.0,"[9084, 10787]"
remplacer,2.0,"[1772, 13768]"
rexecode,2.0,"[6864, 7020]"
richesse,2.0,"[14757, 17959]"
risquer,2.0,"[4768, 10877]"
rotation,2.0,"[15527, 15549]"
récompenser,2.0,"[4972, 17360]"
réel,2.0,"[546, 17810]"
réfléchir,2.0,"[16652, 23629]"
rééquilibrer,2.0,"[4697, 10462, 15191]"
scandale,2.0,"[15666, 21616]"
serre,2.0,"[15183, 15311]"
signe,2.0,"[17313, 23978]"
sincérité,2.0,"[18896, 19065]"
souci,2.0,"[10485, 10594]"
sportif,2.0,"[21927, 21960]"
stabilité,2.0,"[21222, 23931]"
statistique,2.0,[1507]
taxer,2.0,"[5346, 13546, 13558, 13707]"
terme,2.0,"[5509, 25745]"
train,2.0,"[1740, 13666]"
traiter,2.0,"[14639, 19348, 19709, 21686]"
transmettre,2.0,"[17276, 17289]"
udf,2.0,"[24161, 24186]"
vacance,2.0,"[8998, 9076]"
vendre,2.0,"[16277, 16609]"
veuf|veuve,2.0,"[10659, 10671]"
viol,2.0,"[2790, 2970]"
virtuel,2.0,"[536, 17804]"
visite,2.0,"[10828, 21937]"
voiture,2.0,"[15084, 15095]"
volontiers,2.0,"[24924, 24963]"
âge,2.0,"[452, 1731]"
